scenario,match_tier,attribution,entity_team_groups,groups_25_plus,groups_50_plus,groups_100_plus,groups_200_plus,median_group_plays,maximum_group_plays,median_group_games,maximum_group_games
Opening-drive first down,Strict,Head coach,99,53,27,6,0,29.0,119,24.0,97
Opening-drive first down,Strict,Verified offensive play caller,149,49,17,3,0,15.0,109,13.0,90
Opening-drive first down,Balanced,Head coach,98,64,46,16,0,42.0,181,26.0,105
Opening-drive first down,Balanced,Verified offensive play caller,148,73,33,8,0,24.0,181,14.0,101
Opening-drive first down,Broad,Head coach,98,79,56,33,12,71.5,306,27.5,118
Opening-drive first down,Broad,Verified offensive play caller,148,111,54,25,6,36.5,304,15.0,113
Second-and-medium,Strict,Head coach,62,0,0,0,0,3.0,12,3.0,12
Second-and-medium,Strict,Verified offensive play caller,87,0,0,0,0,2.0,12,2.0,12
Second-and-medium,Balanced,Head coach,55,0,0,0,0,2.0,7,2.0,7
Second-and-medium,Balanced,Verified offensive play caller,76,0,0,0,0,2.0,7,2.0,7
Second-and-medium,Broad,Head coach,97,21,4,0,0,13.0,60,11.0,46
Second-and-medium,Broad,Verified offensive play caller,147,14,2,0,0,7.0,54,6.0,43
Third-and-short,Strict,Head coach,58,0,0,0,0,2.0,9,2.0,9
Third-and-short,Strict,Verified offensive play caller,76,0,0,0,0,2.0,5,1.0,5
Third-and-short,Balanced,Head coach,63,0,0,0,0,2.0,7,2.0,7
Third-and-short,Balanced,Verified offensive play caller,79,0,0,0,0,1.0,6,1.0,5
Third-and-short,Broad,Head coach,97,7,0,0,0,6.0,41,5.0,34
Third-and-short,Broad,Verified offensive play caller,136,4,0,0,0,4.0,31,4.0,28
Third-and-seven in plus territory,Strict,Head coach,50,0,0,0,0,2.0,5,2.0,5
Third-and-seven in plus territory,Strict,Verified offensive play caller,65,0,0,0,0,1.0,5,1.0,5
Third-and-seven in plus territory,Balanced,Head coach,47,0,0,0,0,2.0,7,2.0,7
Third-and-seven in plus territory,Balanced,Verified offensive play caller,66,0,0,0,0,1.0,6,1.0,6
Third-and-seven in plus territory,Broad,Head coach,90,4,0,0,0,6.0,33,5.0,27
Third-and-seven in plus territory,Broad,Verified offensive play caller,135,2,0,0,0,4.0,27,3.0,26
Fourth-and-one decision,Strict,Head coach,26,0,0,0,0,1.0,3,1.0,3
Fourth-and-one decision,Strict,Verified offensive play caller,26,0,0,0,0,1.0,3,1.0,3
Fourth-and-one decision,Balanced,Head coach,56,0,0,0,0,2.0,6,2.0,6
Fourth-and-one decision,Balanced,Verified offensive play caller,66,0,0,0,0,1.0,6,1.0,6
Fourth-and-one decision,Broad,Head coach,68,0,0,0,0,3.0,12,3.0,12
Fourth-and-one decision,Broad,Verified offensive play caller,93,0,0,0,0,2.0,12,2.0,12
Red-zone second down,Strict,Head coach,58,0,0,0,0,1.5,7,1.5,7
Red-zone second down,Strict,Verified offensive play caller,73,0,0,0,0,1.0,5,1.0,5
Red-zone second down,Balanced,Head coach,50,0,0,0,0,1.0,6,1.0,6
Red-zone second down,Balanced,Verified offensive play caller,57,0,0,0,0,1.0,6,1.0,6
Red-zone second down,Broad,Head coach,85,2,0,0,0,6.0,27,5.0,26
Red-zone second down,Broad,Verified offensive play caller,129,0,0,0,0,4.0,24,3.0,23
Two-minute comeback,Strict,Head coach,97,11,0,0,0,8.0,36,7.0,29
Two-minute comeback,Strict,Verified offensive play caller,137,5,0,0,0,6.0,34,5.0,27
Two-minute comeback,Balanced,Head coach,98,31,7,0,0,14.0,65,9.0,37
Two-minute comeback,Balanced,Verified offensive play caller,141,18,3,0,0,10.0,60,6.0,34
Two-minute comeback,Broad,Head coach,99,71,55,26,4,56.0,233,17.0,70
Two-minute comeback,Broad,Verified offensive play caller,148,95,47,14,2,30.0,227,10.0,70
Protecting a late lead,Strict,Head coach,56,0,0,0,0,2.0,9,2.0,9
Protecting a late lead,Strict,Verified offensive play caller,70,0,0,0,0,2.0,9,2.0,8
Protecting a late lead,Balanced,Head coach,88,5,0,0,0,5.0,32,5.0,28
Protecting a late lead,Balanced,Verified offensive play caller,129,2,0,0,0,4.0,31,3.0,26
Protecting a late lead,Broad,Head coach,93,32,11,0,0,15.0,99,10.0,57
Protecting a late lead,Broad,Verified offensive play caller,139,27,5,0,0,10.0,99,6.0,57
