group_variable,group_value,model,plays,accuracy,log_loss,brier_score,actual_pass_rate,expected_pass_rate,mean_pass_oe,roc_auc
score_state,leading_9_plus,logistic_regression,4588,0.677,0.6171,0.2106,0.4693,0.4858,-0.0165,0.727
score_state,leading_9_plus,hist_gradient_boosting,4588,0.721,0.5243,0.1773,0.4693,0.4837,-0.0144,0.806
score_state,leading_9_plus,nflverse_xpass,4588,0.7223,0.5303,0.1796,0.4693,0.5007,-0.0314,0.8035
score_state,trailing_9_plus,logistic_regression,7031,0.7251,0.5416,0.1821,0.7242,0.7135,0.0107,0.6917
score_state,trailing_9_plus,hist_gradient_boosting,7031,0.7611,0.468,0.1548,0.7242,0.7317,-0.0074,0.8012
score_state,trailing_9_plus,nflverse_xpass,7031,0.7603,0.4744,0.1575,0.7242,0.7477,-0.0234,0.7947
score_state,within_8_points,logistic_regression,23170,0.6625,0.5979,0.2052,0.5949,0.5996,-0.0047,0.7241
score_state,within_8_points,hist_gradient_boosting,23170,0.6961,0.5415,0.1857,0.5949,0.5979,-0.003,0.7771
score_state,within_8_points,nflverse_xpass,23170,0.6946,0.5453,0.187,0.5949,0.6136,-0.0188,0.7743
time_state,earlier_game,logistic_regression,25162,0.6546,0.6033,0.2076,0.598,0.6022,-0.0042,0.7143
time_state,earlier_game,hist_gradient_boosting,25162,0.6852,0.5546,0.1909,0.598,0.604,-0.0059,0.7621
time_state,earlier_game,nflverse_xpass,25162,0.6853,0.5576,0.1918,0.598,0.6179,-0.0199,0.7608
time_state,final_15_minutes,logistic_regression,5844,0.7207,0.5609,0.1893,0.6037,0.5848,0.0189,0.7801
time_state,final_15_minutes,hist_gradient_boosting,5844,0.7471,0.5009,0.1667,0.6037,0.6011,0.0026,0.8238
time_state,final_15_minutes,nflverse_xpass,5844,0.7481,0.5074,0.1696,0.6037,0.6221,-0.0184,0.8182
time_state,final_5_minutes,logistic_regression,3783,0.7584,0.538,0.1777,0.6484,0.6783,-0.0299,0.784
time_state,final_5_minutes,hist_gradient_boosting,3783,0.8406,0.3599,0.1127,0.6484,0.6628,-0.0143,0.9114
time_state,final_5_minutes,nflverse_xpass,3783,0.8295,0.3721,0.1182,0.6484,0.6839,-0.0355,0.908
close_late_state,close_final_5,logistic_regression,1995,0.7419,0.5374,0.1787,0.6516,0.6728,-0.0211,0.7914
close_late_state,close_final_5,hist_gradient_boosting,1995,0.8281,0.381,0.1214,0.6516,0.657,-0.0054,0.9
close_late_state,close_final_5,nflverse_xpass,1995,0.812,0.3946,0.127,0.6516,0.6825,-0.0308,0.8931
close_late_state,other_situations,logistic_regression,32794,0.6731,0.5922,0.2026,0.6016,0.6036,-0.002,0.7312
close_late_state,other_situations,hist_gradient_boosting,32794,0.7055,0.5331,0.1818,0.6016,0.607,-0.0054,0.7864
close_late_state,other_situations,nflverse_xpass,32794,0.7054,0.5372,0.1833,0.6016,0.6224,-0.0208,0.784
distance_group,long_10_plus,logistic_regression,20329,0.6598,0.6043,0.2071,0.5975,0.6096,-0.0122,0.7162
distance_group,long_10_plus,hist_gradient_boosting,20329,0.6793,0.5524,0.1903,0.5975,0.6025,-0.005,0.7585
distance_group,long_10_plus,nflverse_xpass,20329,0.6793,0.5541,0.191,0.5975,0.611,-0.0136,0.7572
distance_group,medium_3_to_9,logistic_regression,11065,0.7376,0.529,0.1762,0.6894,0.6315,0.0579,0.7756
distance_group,medium_3_to_9,hist_gradient_boosting,11065,0.7655,0.4664,0.1551,0.6894,0.6949,-0.0055,0.8216
distance_group,medium_3_to_9,nflverse_xpass,11065,0.7621,0.4748,0.1579,0.6894,0.7189,-0.0295,0.8167
distance_group,short_1_to_2,logistic_regression,3395,0.5829,0.6937,0.2479,0.3694,0.5173,-0.148,0.6369
distance_group,short_1_to_2,hist_gradient_boosting,3395,0.7387,0.546,0.182,0.3694,0.3768,-0.0074,0.7501
distance_group,short_1_to_2,nflverse_xpass,3395,0.7396,0.5557,0.1864,0.3694,0.4111,-0.0417,0.745
field_zone,outside_red_zone,logistic_regression,29430,0.6745,0.5898,0.2014,0.6172,0.6167,0.0005,0.7273
field_zone,outside_red_zone,hist_gradient_boosting,29430,0.7072,0.5255,0.1791,0.6172,0.6215,-0.0043,0.7877
field_zone,outside_red_zone,nflverse_xpass,29430,0.7065,0.5291,0.1804,0.6172,0.6342,-0.017,0.7849
field_zone,red_zone,logistic_regression,5359,0.6908,0.5852,0.2003,0.5346,0.5577,-0.0231,0.7594
field_zone,red_zone,hist_gradient_boosting,5359,0.7416,0.5184,0.1742,0.5346,0.546,-0.0114,0.8137
field_zone,red_zone,nflverse_xpass,5359,0.7391,0.5287,0.1779,0.5346,0.5798,-0.0452,0.8102
